SPECIES,COMMONNAME
Herpailurus yaguarondi tolteca,Jaguarundi
Hesperagrion,
Hesperagrion heterodoxum,Painted Damsel
Hesperia,
Hesperia colorado,Common Branded Skipper
Hesperia colorado susanae,
Hesperia juba,Juba Skipper
Hesperia lindseyi,Lindsey's Skipper
Hesperia nevada,Nevada Skipper
Hesperia pahaska,Pahaska Skipper
Hesperia uncas,Uncas Skipper
Hesperia viridis,Green Skipper
Hesperia woodgatei,Apache Skipper
Hesperiidae,skippers
Hesperochiron,
Hesperochiron pumilus,Pygmy Western Waterleaf
Hesperodoria,
Hesperodoria salicina,Willow Glowweed
Hesperodoria scopulorum,Grand Canyon Evening Daisy
Hesperophylax,
Hesperophylax designatus,A Caddisfly
Hesperophylax magnus,A Caddisfly
Hesperophylax occidentalis,A Caddisfly
Hesperopsis,
Hesperopsis alpheus,Saltbush Sootywing
Hesperopsis gracielae,Macneill's Sootywing
Hesperopsis libya,Mohave Sootywing
Hetaerina,
Hetaerina americana,American Rubyspot
Hetaerina vulnerata,Canyon Rubyspot
Heteranthera,mudplantain
Heteranthera limosa,Mud Plantain
Heterelmis,
Heterelmis stephani,Stephan's Heterelmis Riffle Beetle
Heterocampa,
Heterocampa amanda,A Notodontid Moth
Heterocampa averna,A Notodontid Moth
Heterocampa ditta,A Notodontid Moth
Heterocampa incongrua,A Notodontid Moth
Heterocampa ruficornis,A Notodontid Moth
Heterocampa sp. 1 nr. amanda,A Notodontid Moth
Heterodon,
Heterodon kennerlyi,Mexican Hog-nosed Snake
Heterodon nasicus kennerlyi,Mexican Hog-nosed Snake
Heteromyidae,
Heteroscelus incanus,Wandering Tattler
Heterotheca,false goldenaster
Heterotheca rutteri,Huachuca Golden Aster
Heterotheca zionensis,Zion Goldenaster
Heuchera,alumroot
Heuchera eastwoodiae,Senator Mine Alumroot
Heuchera glomerulata,Chiricahua Mountain Alumroot
Heuchera rubescens,Red Alum Root
Hexalectris,
Hexalectris arizonica,Arizona Crested coral-root
Hexalectris colemanii,Coleman's coral-root
Hexalectris parviflora,
Hexalectris revoluta,Chisos Coral-root
Hexalectris revoluta var. colemanii,Coleman's coral-root
Hexalectris spicata var. arizonica,Arizona Crested coral-root
Hexalectris spicata var. spicata,Arizona Crested coral-root
Hexalectris warnockii,Texas Purple Spike
Hieracium,hawkweed
Hieracium abscissum,Rusby's Hawkweed
Hieracium brevipilum,Mogollon Hawkweed
Hieracium carneum,Huachuca Hawkweed
Hieracium fendleri var. mogollense,Mogollon Hawkweed
Hieracium pringlei,Pringle Hawkweed
Hieracium rusbyi,Rusby's Hawkweed
Himantopus,
Himantopus mexicanus,Black-necked Stilt
Hippia,
Hippia packardii,A Notodontid Moth
Hippuridaceae,mare's-tail family
Hippuris,mare's-tail
Hippuris vulgaris,Mares Tail
Hirundinidae,
Hirundo,
Hirundo rustica,Barn Swallow
Histrionicus,
Histrionicus histrionicus,Harlequin Duck
Holacantha emoryi,Crucifixion Thorn
Holbrookia,
Holbrookia elegans,Elegant Earless Lizard
Holbrookia elegans thermophila,Sonoran Earless Lizard
Holbrookia maculata,Lesser Earless Lizard
Holbrookia maculata pulchra,Sonoran Earless Lizard
Holospira,
Holospira arizonensis,Arizona Holospira
Holospira campestris,A Holospira
Holospira chiricahuana,Cave Creek Holospira
Holospira cionella,A Holospira
Holospira danielsi,Strongrib Holospira
Holospira ferrissi,Stocky Holospira
Holospira millestriata,A Holospira
Holospira montivaga,Vagabond Holospira
Holospira sherbrookei,Silver Creek Holospira
Holospira tantalus,Teasing Holospira
Holospira whetstonensis,Whetstone Holospira
Homoleptohyphes,
Homoleptohyphes dimorphus,A Mayfly
Homoleptohyphes mirus,A Mayfly
Homoleptohyphes quercus,A Mayfly
Hosackia alamosana,Sonoran Bird's-foot Trefoil
Hosackia plebeia,New Mexico Bird's-foot Trefoil
Hosackia rigida var. nummularia,New Mexico Bird's-foot Trefoil
Hoserea atrox,Western Diamond-backed Rattlesnake
Huleechius,
Huleechius marroni,A Riffle Beetle
Huleechius marroni carolus,Marron's San Carlos Riffle Beetle
Hyalella,
Hyalella azteca,An Amphipod
Hyalella montezuma,Montezuma Well amphipod
Hyalellidae,
Hydrangeaceae,hydrangea family
Hydranthelium rotundifolium,Disk Water Hyssop
Hydrilla,water-thyme
Hydrilla verticillata,Hydrilla
Hydrobatidae,
Hydrobiidae,
Hydrobiosidae,
Hydrocharitaceae,tape-grass family
Hydrochloa airoides,Water Whorlgrass
Hydrocoloeus,
Hydrocoloeus minutus,Little Gull
Hydrophila aquatica,Water Pygmyweed
Hydrophila vaillantii,Water Pygmyweed
Hydrophilidae,Water Scavenger Beetles
Hydrophyllaceae,waterleaf family
Hydroprogne,
Hydroprogne caspia,Caspian Tern
Hydropsyche,
Hydropsyche auricolor,A Caddisfly
Hydropsyche occidentalis,A caddisfly
Hydropsyche oslari,A caddisfly
Hydropsyche protis,A Caddisfly
Hydropsyche venada,A Caddisfly
Hydropsychidae,
Hydroptila,
Hydroptila arctia,A Caddisfly
Hydroptila consimilis,A Caddisfly
Hydroptila hamata,A Caddisfly
Hydroptila icona,A Caddisfly
Hydroptila modica,A Caddisfly
Hydroptila pecos,A Caddisfly
Hydroptila rono,A Caddisfly
Hydroptilidae,
Hyla,
Hyla arenicolor,Canyon Treefrog
Hyla eximia,Arizona Treefrog
Hyla wrightorum,Arizona Treefrog
Hyla wrightorum (Huachuca/Canelo Hills Pop.),See: Hyla wrightorum
Hylactophryne augusti,Barking Frog
Hylactophryne augusti cactorum,Western Barking Frog
Hylephila,
Hylephila phyleus,Fiery Skipper
Hyles,
Hyles lineata,White-lined Sphinx
Hylidae,New World Tree Frogs
Hylocharis,
Hylocharis leucotis,White-eared Hummingbird
Hylocichla,
Hylocichla mustelina,Wood Thrush
Hymenopappus,hymenopappus
Hymenopappus filifolius,Fineleaf Woollywhite
Hymenopappus filifolius var. cinereus,Fineleaf Woolly-white
Hymenopappus mexicanus,Mexican Woolly-white
Hymenoxys,rubberweed
Hymenoxys ambigens,Pinaleno Mountain Rubberweed
Hymenoxys ambigens var. ambigens,Pinaleno Mountain Rubberweed
Hymenoxys ambigens var. floribunda,Apache Pass Rubberweed
Hymenoxys ambigens var. wagneri,Dragoon Mountains Rubberweed
Hymenoxys helenioides,Intermountain Bitterweed
Hymenoxys jamesii,James's Rubberweed
Hymenoxys quinquesquamata,Five Scale Bitterweed
Hymenoxys richardsonii,Richardson's Bitterweed
Hymenoxys richardsonii var. floribunda,Olivaceous Bitterweed
Hymenoxys subintegra,Arizona Bitter-weed
Hypaurotis,
Hypaurotis crysalus,Colorado Hairstreak
Hypaurotis crysalus intermedia,Colorado Hairstreak
Hypericum,St. Johnswort
Hypericum anagalloides,Pygmy St Johns Wort
Hypostrymon,
Hypostrymon critola,Sonoran Hairstreak
Hypoxis,
Hypoxis mexicana,Yellow Star Grass
Hypsiglena,
Hypsiglena chlorophaea,Desert Nightsnake
Hypsiglena chlorophaea chlorophaea,Sonoran Nightsnake
Hypsiglena chlorophaea deserticola,Northern Desert Nightsnake
Hypsiglena chlorophaea loreala,Mesa Verde Nightsnake
Hypsiglena jani,Chihuahuan Nightsnake
Hypsiglena sp. nov.,Hooded Nightsnake
Hypsiglena torquata chlorophaea,Desert Nightsnake
Hypsiglena torquata deserticola,Northern Desert Nightsnake
Hypsiglena torquata loreala,Mesa Verde Nightsnake
Ibervillea,
Ibervillea tenuisecta,Texas Globe Berry
Ibidium romanzoffianum,Hooded Ladies'-tresses
Ibidium strictum,Hooded Ladies'-tresses
Icaricia lupini,Lupine Blue
Ictaluridae,north american freshwater catfishes
Ictalurus,
Ictalurus furcatus,Blue Catfish
Ictalurus melas,Black Bullhead
Ictalurus natalis,Yellow Bullhead
Ictalurus nebulosus,Brown Bullhead
Ictalurus pricei,Yaqui Catfish
Ictalurus punctatus,Channel Catfish
Icteria,
Icteria virens,Yellow-breasted Chat
Icteridae,
Icteriidae,
Icterus,
Icterus bullockii,Bullock's Oriole
Icterus cucullatus,Hooded Oriole
Icterus galbula,Baltimore Oriole
Icterus parisorum,Scott's Oriole
Icterus pustulatus,Streak-backed Oriole
Icterus spurius,Orchard Oriole
Icterus wagleri,Black-vented Oriole
Ictidomys,
Ictidomys tridecemlineatus,Thirteen-lined Ground Squirrel
Ictidomys tridecemlineatus monticola,White Mountains Ground Squirrel
Ictinia,
Ictinia mississippiensis,Mississippi Kite
Ictiobus,
Ictiobus bubalus,Smallmouth Buffalo
Ictiobus cyprinellus,Bigmouth Buffalo
Ictiobus niger,Black Buffalo
Ideoroncidae,
Idionycteris,
Idionycteris phyllotis,Allen's Lappet-browed Bat
Iguanidae,
Imperata,
Imperata arundinacea ssp. hookeri,California Satintail
Imperata brevifolia,California Satintail
Imperata hookeri,California Satintail
Incertae sedis (Class: Dothideomycetes),
Incilius,
Incilius alvarius,Sonoran Desert Toad
Incisalia fotis,Desert Elfin
Indotyphlops,
Indotyphlops braminus,Brahminy Blind Snake
Inopsis,
Inopsis funerea,
Ipomoea,morning-glory
Ipomoea egregia,Huachuca Morning Glory
Ipomoea hederacea,Ivy-leaf Morning-glory
Ipomoea longifolia,Pink-throat Morning-glory
Ipomoea plummerae,Huachuca Mountain Morning-glory
Ipomoea plummerae var. cuneifolia,Huachuca Morning Glory
Ipomoea purpurea,Common Morning-glory
Ipomoea tenuiloba,Trumpet Morning-glory
Ipomoea tenuiloba var. lemmonii,Trumpet Morning-glory
Ipomoea thurberi,Thurber's Morning-glory
Ipomoea tricolor,Grannyvine
Ipomoea triloba,Little-bell
Ipomoea x leucantha,Morning Glory
Ipomopsis,ipomopsis
Ipomopsis congesta,Ball-head Standing-cypress
Ipomopsis congesta ssp. frutescens,Shrub Gilia
Ipomopsis congesta ssp. matthewii,Matthew's Ipomopsis
Ipomopsis frutescens,Shrub Gilia
Ipomopsis macombii,Macomb's skyrocket
Ipomopsis multiflora,Many-flowered Standing-cypress
Iridaceae,iris family
Isatis,
Isatis tinctoria,Dyer's woad
Ischnura,
Ischnura barberi,Desert Forktail
Ischnura cervula,Pacific Forktail
Ischnura damula,Plains Forktail
Ischnura demorsa,Mexican Forktail
Ischnura denticollis,Black-fronted Forktail
Ischnura hastata,Citrine Forktail
Ischnura perparva,Western Forktail
Ischnura ramburii,Rambur's Forktail
Isocoma,
Isocoma tenuisecta,Burroweed
Isoetaceae,quillwort family
Isoetes,quillwort
Isoetes bolanderi,Bolanders Quillwort
Isoetes bolanderi var. pygmaea,Bolanders Quillwort
Isogenoides,
Isogenoides colubrinus,Blackfoot Springfly
Isogenoides elongatus,Elongate Springfly
Isogenoides zionensis,Zion Springfly
Isognathus,
Isognathus rimosus,A Sphinx Moth
Isoperla,
Isoperla mormona,Mormon Stripetail
Ithonidae,
Ithytrichia,
Ithytrichia clavata,A Caddisfly
Ithytrichia mexicana,A Caddisfly
Ivesia,mousetail
Ivesia arizonica,Arizona whitefeather
Ivesia multifoliolata,Many-leaved Ivesia
Ivesia pinnatifida,Garland Prairie Cinquefoil
Ivesia sabulosa,Intermountain Mousetail
Ixobrychus,
Ixobrychus exilis,Least Bittern
Ixoreus,
Ixoreus naevius,Varied Thrush
Jacana,
Jacana spinosa,Northern Jacana
Jacanidae,
Jacobinia candicans,Arizona Water-willow
Jacobinia ovata,Arizona Water-willow
Jacquemontia,
Jacquemontia agrestis,Midnight-blue Clustervine
Jacquemontia palmeri,Midnight-blue Clustervine
Jacquemontia pringlei,Pringle's Cluster-vine
Jatropha,nettlespurge
Jatropha cardiophylla,Sangre de Cristo
Jatropha cinerea,Sangre de Drago
Juglandaceae,walnut family
Juglans,walnut
Juglans major,Arizona Black Walnut
Juncaceae,rush family
Juncaginaceae,arrow-grass family
Junco,
Junco hyemalis,Dark-eyed Junco
Junco phaeonotus,Yellow-eyed Junco
Juncus,rush
Juncus articulatus,Jointed Rush
Junonia,
Junonia coenia,Buckeye
Junonia genoveva,Genoveva
Junonia genoveva nigrosuffusa,Dark Peacock
Justicia,water-willow
Justicia candicans,Arizona Water-willow
Justicia candicans var. subglabra,Arizona Water-willow
Justicia sonorae,Palm Canyon Justicia
Kinosternidae,
Kinosternon,
Kinosternon arizonense,Arizona Mud Turtle
Kinosternon flavescens,Yellow Mud Turtle
Kinosternon flavescens arizonense,Arizona Mud Turtle
Kinosternon sonoriense,Sonora Mud Turtle
Kinosternon sonoriense longifemorale,Sonoyta Mud Turtle
Kinosternon sonoriense sonoriense,Desert Mud Turtle
Kochia,molly
Kochia scoparia,Mexican Fireweed
Krameria,ratany
Krameria parvifolia,Small-flower Ratany
Krameriaceae,
Kricogonia,
Kricogonia lyside,Lyside
Kuhnia chlorolepis,False Boneset
Kuhnia eupatorioides,Thoroughwort Brickell-bush
Kuhnia eupatorioides var. chlorolepis,False Boneset
Lachnostoma arizonicum,Rincon Milkweed Vine
Laennecia,
Laennecia eriophylla,Woolly Fleabane
Lagascea,
Lagascea decipiens,Beguiling Mexican Daisy
Lamiaceae,mint family
Lampornis,
Lampornis clemenciae,Blue-throated Mountain-gem
Lampropeltis,
Lampropeltis californiae,California Kingsnake
Lampropeltis gentilis,Western Milksnake
Lampropeltis getula,Eastern Kingsnake
Lampropeltis getula californiae,California Kingsnake
Lampropeltis getula nigrita,Mexican Black Kingsnake
Lampropeltis getula splendida,Desert Kingsnake
Lampropeltis getulus californiae,California Kingsnake
Lampropeltis knoblochi,Knobloch's Mountain Kingsnake
Lampropeltis nigrita,Mexican Black Kingsnake
Lampropeltis pyromelana,Sonoran Mountain Kingsnake
Lampropeltis pyromelana infralabialis,Sonoran Mountain Kingsnake
Lampropeltis pyromelana pyromelana,Sonoran Mountain Kingsnake
Lampropeltis splendida,Desert Kingsnake
Lampropeltis triangulum,Western Milksnake
Lampropeltis triangulum amaura,Western Milksnake
Lampropeltis triangulum annulata,Western Milksnake
Lampropeltis triangulum celaenops,Western Milksnake
Lampropeltis triangulum multistriata,Western Milksnake
Lampropeltis triangulum syspila,Western Milksnake
Lampropeltis triangulum taylori,Western Milksnake
Lampropletis pyromelana knoblochi,Knobloch's Mountain Kingsnake
Laniidae,Shrikes
Lanius,
Lanius borealis,Northern Shrike
Lanius excubitor,Northern Shrike
Lanius ludovicianus,Loggerhead Shrike
Laphamia congesta,Compacted Rockdaisy
Laphamia gilensis ssp. longilobus,Salt River Rock Daisy
Laphamia saxicola,Roosevelt Dam Rockdaisy
Laridae,"Terns, Gulls and Relatives"
Larus,
Larus argentatus,Herring Gull
Larus californicus,California Gull
Larus canus,Mew Gull
Larus delawarensis,Ring-billed Gull
Larus fuscus,Lesser Black-backed Gull
Larus glaucescens,Glaucous-winged Gull
Larus glaucoides,Iceland Gull
Larus heermanni,Heermann's Gull
Larus hyperboreus,Glaucous Gull
Larus livens,Yellow-footed Gull
Larus minutus,Little Gull
Larus occidentalis,Western Gull
Larus thayeri,Thayer's Gull
Lasaia,
Lasaia maria,Maria's Metalmark
Lasionycteris,
Lasionycteris noctivagans,Silver-haired Bat
Lasiurus,
Lasiurus blossevillii,Western Red Bat
Lasiurus borealis,Eastern Red Bat
Lasiurus cinereus,Hoary Bat
Lasiurus ega,Western Yellow Bat
Lasiurus xanthinus,Western Yellow Bat
Laterallus,
Laterallus jamaicensis,Black Rail
Laterallus jamaicensis coturniculus,California Black Rail
Leibnitzia,
Leibnitzia lyrata,Woodland Sunbonnets
Leibnitzia seemannii,Woodland Sunbonnets
Leiodidae,Round Fungus Beetles
Lemaireocereus thurberi,Organ Pipe Cactus
Lennoaceae,
Lentibulariaceae,bladderwort family
Leopardus,
Leopardus pardalis,Ocelot
Lepidium,pepperweed
Lepidium appelianum,Hairy Whitetop
Lepidium draba,Globe-podded Hoary Cress
Lepidium integrifolium,Thickleaf Pepperwort
Lepidium integrifolium var. integrifolium,Thickleaf Pepperwort
Lepidomeda,
Lepidomeda mollispinis,Virgin Spinedace
Lepidomeda mollispinis mollispinis,Virgin Spinedace
Lepidomeda vittata,Little Colorado Spinedace
Lepidostoma,
Lepidostoma acarolum,A Caddisfly
Lepidostoma apache,A caddisfly
Lepidostoma apornum,A Caddisfly
Lepidostoma bakeri,A Caddisfly
Lepidostoma knulli,A Caddisfly
Lepidostoma lacinatum,A Caddisfly
Lepidostoma mexicanum,A Caddisfly
Lepidostoma ormeum,A Caddisfly
Lepidostoma pluviale,A Caddisfly
Lepidostoma rhino,A Caddisfly
Lepidostoma unicolor,A Caddisfly
Lepidostoma veleda,A Caddisfly
Lepidostomatidae,
Lepidurus,
Lepidurus lemmoni,Lynch Tadpole Shrimp
Lepomis,
Lepomis cyanellus,Green Sunfish
Lepomis gibbosus,Pumpkinseed
Lepomis gulosus,Warmouth
Lepomis macrochirus,Bluegill
Lepomis microlophus,Redear Sunfish
Leporidae,
Leptestheria,
Leptestheria compleximanus,Spineynose Clam Shrimp
Leptestheriidae,
Leptoceridae,
Leptohyphidae,
Leptonycteris,
Leptonycteris curasoae yerbabuenae,Lesser Long-nosed Bat
Leptonycteris nivalis,Mexican Long-nosed Bat
Leptonycteris sanborni,Lesser Long-nosed Bat
Leptonycteris yerbabuenae,Lesser Long-nosed Bat
Leptophlebiidae,
Leptotes,
Leptotes marina,Marine Blue
Leptotyphlopidae,
Leptotyphlops dissectus,New Mexico Threadsnake
Leptotyphlops dulcis dissectus,New Mexico Threadsnake
Leptotyphlops humilis cahuilae,Desert Threadsnake
Leptotyphlops humilis humilis,Southwestern Threadsnake
Leptotyphlops humilis segregus,Trans-Pecos Threadsnake
Leptotyphlops humilis utahensis,Utah Threadsnake
Lepus,
Lepus alleni,Antelope Jackrabbit
Lepus californicus,Black-tailed Jackrabbit
Lepus callotis,White-sided Jackrabbit
Lepus townsendii,White-tailed Jackrabbit
Lerema,
Lerema accius,Clouded Skipper
Lerodea,
Lerodea arabus,Violet-clouded Skipper
Lerodea eufala,Eufala Skipper
Lesquerella barnebyi,King Bladderpod
Lesquerella cinerea,Basin Bladder-pod
Lesquerella gooddingii,Goodding's Bladderpod
Lesquerella kaibabensis,Kaibab Bladderpod
Lesquerella kingii,King's Bladderpod
Lesquerella kingii ssp. latifolia,King Bladderpod
Lesquerella kingii var. parvifolia,King Bladderpod
Lesquerella latifolia,King Bladderpod
Lesquerella ludoviciana,Foothill Bladderpod
Lesquerella montana,Mountain Bladderpod
Lesquerella navajoensis,Navajo Bladderpod
Lesquerella occidentalis var. parvifolia,King Bladderpod
Lesquerella pinetorum,White Mountain Bladderpod
Lestes,
Lestes alacer,Plateau Spreadwing
Lestes congener,Spotted Spreadwing
Lestes disjunctus,Northern Spreadwing
Lestes disjunctus disjunctus,Northern Spreadwing
Lestes dryas,Emerald Spreadwing
Lestidae,
Leucanopsis,
Leucanopsis perdentata,A Tiger Moth
Leucocrinum,
Leucocrinum montanum,Mountain Star-lily
Leuconotopicus villosus,Hairy Woodpecker
Leucophaeus,
Leucophaeus atricilla,Laughing Gull
Leucophaeus pipixcan,Franklin's Gull
Leucosticte,
Leucosticte atrata,Black Rosy-Finch
Leucosticte tephrocotis,Gray-crowned Rosy-Finch
Leucosyris arida,Desert Tansy-aster
Leucosyris carnosa,Shrubby Alkali Desert Tansy-aster
Leucosyris carnosa var. intricata,Shrubby Alkali Desert Tansy-aster
Leucotrichia,
Leucotrichia limpia,A Caddisfly
Leucotrichia pictipes,A Micro Caddisfly
Leucotrichia sarita,A Caddisfly
Leuronotina,
Leuronotina ritensis,Lichen Grasshopper
Lewisia,
Lewisia rediviva,Bitter Root
Libellula,
Libellula comanche,Comanche Skimmer
Libellula composita,Bleached Skimmer
Libellula croceipennis,Neon Skimmer
Libellula forensis,Eight-spotted Skimmer
Libellula luctuosa,Widow Skimmer
Libellula lydia,Common Whitetail
Libellula nodisticta,Hoary Skimmer
Libellula pulchella,Twelve-spotted Skimmer
Libellula quadrimaculata,Four-spotted Skimmer
Libellula saturata,Flame Skimmer
Libellula semicincta,Band-winged Meadowhawk
Libellula subornata,Desert Whitetail
Libellulidae,
Libytheana,
Libytheana carinenta,Tropical Snout
Lichanura,Rosy Boas
Lichanura orcutti,Northern Three-lined Boa
Lichanura roseofusca,Rosy Boa
Lichanura trivirgata,Rosy Boa
Lichanura trivirgata gracia,Northern Three-lined Boa
Lichanura trivirgata roseofusca,Northern Three-lined Boa
Lichanura trivirgata trivirgata,Rosy Boa
Lilaeopsis,grasswort
Lilaeopsis recurva,Huachuca Water-umbel
Lilaeopsis schaffneriana,Cienega False Rush
Lilaeopsis schaffneriana ssp. recurva,Huachuca Water-umbel
Lilaeopsis schaffneriana var. recurva,Huachuca Water-umbel
Liliaceae,lily family
Lilium,
Lilium parryi,Lemon Lily
Limacidae,
Limax,
Limax flavus,Yellow Gardenslug
Limax marginatus,Tree Slug
Limenitis,
Limenitis archippus,Viceroy
Limenitis archippus obsoleta,Obsolete Viceroy Butterfly
Limenitis arthemis,White Admiral or Red-spotted Purple
Limenitis weidemeyerii,Weidemeyer's Admiral
Limnadiidae,
Limnephilidae,
Limnephilus,
Limnephilus abbreviatus,A Caddisfly
Limnephilus acnestus,A Caddisfly
Limnephilus apache,A Caddisfly
Limnephilus arizona,A Caddisfly
Limnephilus assimilis,A Caddisfly
Limnephilus diversus,A Caddisfly
Limnephilus frijole,A Caddisfly
Limnephilus granti,A Caddisfly
Limnephilus lithus,A Caddisfly
Limnephilus moestus,A Caddisfly
Limnephilus rothi,A Caddisfly
Limnephilus sp. 1,A Caddisfly
Limnephilus sperryi,A Caddisfly
Limnephilus spinatus,A Caddisfly
Limnephilus tulatus,A Caddisfly
Limnodromus,
Limnodromus griseus,Short-billed Dowitcher
Limnodromus scolopaceus,Long-billed Dowitcher
Limnorchis aggregata,Sparse Flowered Bog Orchid
Limnorchis arizonica,Thurber's Bog Orchid
Limnorchis ensifolia,Sparse Flowered Bog Orchid
Limnorchis laxiflora,Sparse Flowered Bog Orchid
Limnorchis purpurascens,Purple-petal Bog Orchid
Limnorchis sparsiflora,Sparse Flowered Bog Orchid
Limnorchis zothecina,Alcove Bog Orchid
Limnothlypis,
Limnothlypis swainsonii,Swainson's Warbler
Limonium,sealavender
Limonium limbatum,Trans-Pecos Sea Lavender
Limonium limbatum var. glabrescens,Trans-Pecos Sea Lavender
Limosa,
Limosa fedoa,Marbled Godwit
Limosa haemastica,Hudsonian Godwit
Limosella,mudwort
Limosella pubiflora,Chiricahua Mudwort
Linaceae,flax family
Linanthus,
Linanthus filiformis,Yellow Gilia
Linaria,
Linaria dalmatica,Dalmatian Toadflax
Linaria genistifolia ssp. dalmatica,Dalmatian Toadflax
Lindernia,
Lindernia anagallidea,False Pimpernel
Lindernia dubia,Yellow-seed False-pimpernel
Lindernia dubia var. anagallidea,False Pimpernel
Linnaea,twinflower
Linnaea borealis,Twin Flower
Linosyris carnosa,Shrubby Alkali Desert Tansy-aster
Lintneria,
Lintneria istar,A Sphinx Moth
Lintneria separatus,A Sphinx Moth
Linum,flax
Linum australe,Southern Flax
Lisianthus exaltatus,Catchfly Prairie-gentian
Lisianthus glaucifolius,Catchfly Prairie-gentian
Listera,twayblade
Listera convallarioides,Broad-leaved Twayblade
Lithobates,American Water Frogs
Lithobates berlandieri,Rio Grande Leopard Frog
Lithobates blairi,Plains Leopard Frog
Lithobates catesbeianus,American Bullfrog
Lithobates chiricahuensis,Chiricahua Leopard Frog
Lithobates onca,Relict Leopard Frog
Lithobates pipiens,Northern Leopard Frog
Lithobates tarahumarae,Tarahumara Frog
Lithobates yavapaiensis,Lowland Leopard Frog
Lithodytes latrans,Barking Frog
Lithophane,
Lithophane leeae,A Noctuid Moth
Lithospermum,stoneseed
Lithospermum viride,Green Puccoon
Litodonta,
Litodonta aonides,A Notodontid Moth
Litodonta contrasta,A Notodontid Moth
Litodonta sp. 1 nr. alpina,A Notodontid Moth
Loasaceae,blazingstar family
Lobelia,lobelia
Lobelia fenestralis,Leafy Lobelia
Lobelia laxiflora,Mexican Lobelia
Lobelia laxiflora var. angustifolia,Mexican Lobelia
Loeselia,
Loeselia glandulosa,Tropical Spiny Phlox
Loeseliastrum,
Loeseliastrum franciscanum,
Lomatium,desertparsley
Lomatium leptocarpum,Biscuit Root
Lomatium parryi,Parry Wild Parsley
Lomatium scabrum,Rough Desert-parsley
Lomatium scabrum var. tripinnatum,Rough Desert Parsley
Lontra,
Lontra canadensis,Northern River Otter
Lontra canadensis lataxina,Southeastern River Otter
Lontra canadensis sonora,Southwestern River Otter
Lophocampa,
Lophocampa mixta,A Tiger Moth
Lophocampa pura,A Tiger Moth
Lophocereus,
Lophocereus schottii,Senita
Lophodytes,
Lophodytes cucullatus,Hooded Merganser
Lorandersonia salicina,Willow Glowweed
Lotus,trefoil
Lotus alamosanus,Sonoran Bird's-foot Trefoil
Lotus longebracteatus,New Mexico Bird's-foot Trefoil
Lotus mearnsii,Mearns Birds-foot Trefoil
Lotus mearnsii var. equisolensis,Horseshoe Deer Vetch
Lotus mearnsii var. mearnsii,Mearn's Bird-foot Trefoil
Lotus neomexicanus,New Mexico Bird's-foot Trefoil
Lotus oroboides var. nanus,New Mexico Bird's-foot Trefoil
Lotus plebeius,New Mexico Bird's-foot Trefoil
Lotus ramulosus,New Mexico Bird's-foot Trefoil
Loxia,
Loxia curvirostra,Red Crossbill
Loxia leucoptera,White-winged Crossbill
Ludwigia,primrose-willow
Ludwigia palustris,Marsh Purslane
Ludwigia scabriuscula,Grand Redstem
Lupinus,lupine
Lupinus argenteus var. lemmonii,Lemmon's Lupine
Lupinus aridus,Arid-soil Lupine
Lupinus aridus ssp. aridus,Desert Lupine
Lupinus caudatus,Kellogg's Spurred Lupine
Lupinus caudatus ssp. cutleri,Cutler Lupine
Lupinus flavoculatus,Yellow-eye Lupine
Lupinus huachucanus,Huachuca Mountain Lupine
Lupinus latifolius,Broad-leaved Lupine
Lupinus latifolius ssp. leucanthus,Broadleaf Lupine
Lupinus lemmonii,Lemmon's Lupine
Lupinus rubens var. flavoculatus,Yellow-eye Lupine
Lutra canadensis,Northern River Otter
Lutra canadensis lataxina,Southeastern River Otter
Lutra canadensis sonora,Southwestern River Otter
Lycaena,
Lycaena arota,Arota Copper
Lycaena ferrisi,Ferris Copper
Lycaena helloides,Purplish Copper
Lycaena heteronea,Blue Copper
Lycaena rubidus ferrisi,Ferris Copper
Lycaenidae,
Lycium,desert-thorn
Lycium andersonii,Anderson Wold-berry
Lycium californicum,California Wolf-berry
Lycium californicum var. arizonicum,Desert Thorn
Lycium cooperi,Peach Thorn
Lycium fremontii,Fremont's Desert-thorn
Lycium parishii,Parish's Desert Thorn
Lycium torreyi,Torrey Wolf-berry
Lycomorpha,
Lycomorpha fulgens,a lichen Moth
Lygodesmia,skeletonplant
Lygodesmia bigelovii,Small Wirelettuce
Lygodesmia dianthopsis,Antelope Island Skeletonplant
Lygodesmia grandiflora,Large-flower Skeleton-plant
Lygodesmia grandiflora var. dianthopsis,Antelope Island Skeletonplant
Lygodesmia juncea var. dianthopsis,Antelope Island Skeletonplant
Lymnaeidae,
Lynceidae,
Lynceus,
Lynceus brachyurus,Holarctic Clam Shrimp
Lynceus brevifrons,Short Finger Clam Shrimp
Lynx,
Lynx canadensis,Canada Lynx
Lynx rufus,Bobcat
Lysiloma,false tamarind
Lysiloma microphylla var. thornberi,Littleleaf False Tamarind
Lysiloma thornberi,Littleleaf False Tamarind
Lysiloma watsonii,Littleleaf False Tamarind
Lysimachia,yellow loosestrife
Lysimachia ciliata var. validula,Lowland Yellow-Loosestrife
Lysimachia hybrida,Lowland Yellow-Loosestrife
Lysimachia lanceolata ssp. hybrida,Lowland Yellow-Loosestrife
Lysimachia lanceolata var. hybrida,Lowland Yellow-Loosestrife
Lysimachia monnieri,Herb-of-Grace
Lythraceae,loosestrife family
Mabrya,
